time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
5.54,FSM Enemy 9,FSM,PatrolState,None,1.00,33.4,0
5.54,FSM Enemy 11,FSM,PatrolState,None,0.90,23.9,0
5.54,FSM Enemy 2,FSM,PatrolState,None,1.00,102.9,0
5.54,FSM Enemy 10,FSM,PatrolState,None,1.00,68.7,0
5.54,FSM Enemy 1,FSM,PatrolState,None,1.00,83.6,0
5.54,FSM Enemy 14,FSM,PatrolState,None,1.00,93.3,0
5.54,Utility Enemy 9,Utility,AttackAction,None,1.00,63.0,0
5.54,Utility Enemy 10,Utility,AttackAction,None,1.00,49.4,0
5.54,Utility Enemy 12,Utility,AttackAction,None,1.00,52.7,0
5.54,Utility Enemy 6,Utility,AttackAction,None,1.00,22.9,0
5.54,Utility Enemy 1,Utility,AttackAction,None,1.00,81.8,0
5.54,Utility Enemy 7,Utility,AttackAction,None,1.00,61.3,0
5.54,Utility Enemy 11,Utility,TakeCoverAction,None,0.25,15.5,1
5.54,Utility Enemy 13,Utility,AttackAction,None,1.00,35.1,0
5.54,Utility Enemy 15,Utility,AttackAction,None,1.00,74.1,0
5.54,Utility Enemy 5,Utility,AttackAction,None,1.00,86.0,0
5.54,Utility Enemy 2,Utility,AttackAction,None,1.00,90.8,0
5.54,Utility Enemy 8,Utility,AttackAction,None,1.00,68.7,0
5.54,Utility Enemy 4,Utility,AttackAction,None,1.00,51.2,0
5.54,Utility Enemy 14,Utility,AttackAction,None,1.00,67.9,0
5.54,Utility Enemy 3,Utility,AttackAction,None,1.00,77.5,0
6.04,Player,Player,-,None,0.95,,0
6.04,FSM Enemy 12,FSM,PatrolState,None,1.00,60.6,0
6.04,FSM Enemy 15,FSM,PatrolState,None,1.00,18.0,0
6.04,FSM Enemy 13,FSM,PatrolState,None,1.00,29.3,0
6.04,FSM Enemy 4,FSM,PatrolState,None,0.90,62.3,0
6.04,FSM Enemy 6,FSM,PatrolState,None,0.80,59.0,0
6.04,FSM Enemy 7,FSM,Dead,None,0.00,6.1,0
6.04,FSM Enemy 3,FSM,PatrolState,None,0.90,82.6,0
6.04,FSM Enemy 5,FSM,PatrolState,None,1.00,62.2,0
6.04,FSM Enemy 8,FSM,PatrolState,None,1.00,47.6,0
6.04,FSM Enemy 9,FSM,PatrolState,None,1.00,35.6,0
6.04,FSM Enemy 11,FSM,PatrolState,None,0.90,21.5,0
6.04,FSM Enemy 2,FSM,PatrolState,None,1.00,104.7,0
6.04,FSM Enemy 10,FSM,PatrolState,None,1.00,68.7,0
6.04,FSM Enemy 1,FSM,PatrolState,None,1.00,82.3,0
6.04,FSM Enemy 14,FSM,PatrolState,None,1.00,94.2,0
